"","pool","code","country","marst","relinc","sex","age","parent","employ","homemaker","degree","hswrk","respmom","famlife","index"
"6697","Keep Some $ Separate","SE","Sweden","Married","Woman primary-earner","Male",48,"Parent","Fulltime","Other","Upper level tertiary",9,"Yes, she worked for pay",4,0.055
"6698","One $ Manager","SE","Sweden","Married","Equal-earners","Female",39,"Parent","Parttime","Homemaker","Upper secondary",4,"Yes, she worked for pay",6,0.055
"6699","Keep Some $ Separate","SE","Sweden","Cohab","Woman primary-earner","Female",42,"Parent","Parttime","Homemaker","Upper level tertiary",6,"Yes, she worked for pay",5,0.055
"6700","Keep All $ Separate","SE","Sweden","Married","Man primary-earner","Female",35,"Parent","Fulltime","Other","Upper level tertiary",7,"Yes, she worked for pay",6,0.055
"6701","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",32,"Parent","Fulltime","Homemaker","Upper secondary",6,"No",7,0.055
"6702","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",40,"Parent","Fulltime","Other","Upper secondary",6,"Yes, she worked for pay",7,0.055
"6703","Keep All $ Separate","SE","Sweden","Married","Woman primary-earner","Female",41,"Parent","Fulltime","Other","Upper level tertiary",3,"Yes, she worked for pay",5,0.055
"6704","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Male",50,"Parent","Fulltime","Homemaker","Upper level tertiary",6,"Yes, she worked for pay",6,0.055
"6705","Keep Some $ Separate","SE","Sweden","Married","Woman primary-earner","Female",27,"Nonparent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",6,0.055
"6706","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",30,"Parent","Fulltime","Other","Upper level tertiary",2,"Yes, she worked for pay",6,0.055
"6707","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Female",52,"Nonparent","Unemployed","Homemaker","Upper level tertiary",4,"No",6,0.055
"6708","Manage $ Together","SE","Sweden","Married","Woman primary-earner","Female",49,"Parent","Fulltime","Other","Upper level tertiary",7,"Yes, she worked for pay",5,0.055
"6709","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",41,"Parent","Fulltime","Homemaker","Upper level tertiary",3,"Yes, she worked for pay",7,0.055
"6710","Keep Some $ Separate","SE","Sweden","Married","Woman primary-earner","Female",49,"Nonparent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",7,0.055
"6711","Keep Some $ Separate","SE","Sweden","Cohab","Woman primary-earner","Female",27,"Parent","Student","Homemaker","Lower level tertiary",5,"Yes, she worked for pay",7,0.055
"6712","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",48,"Parent","Fulltime","Homemaker","Upper level tertiary",3,"Yes, she worked for pay",7,0.055
"6713","Manage $ Together","SE","Sweden","Married","Equal-earners","Female",52,"Nonparent","Fulltime","Homemaker","Lower secondary",5,"No",6,0.055
"6714","Keep All $ Separate","SE","Sweden","Cohab","Woman primary-earner","Female",21,"Parent","Student","Other","Lower level tertiary",1,"Yes, she worked for pay",4,0.055
"6715","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",38,"Parent","Parttime","Homemaker","Upper level tertiary",4,"Yes, she worked for pay",6,0.055
"6716","Keep Some $ Separate","SE","Sweden","Cohab","Man primary-earner","Female",25,"Nonparent","Unemployed","Other","Upper secondary",6,"Yes, she worked for pay",6,0.055
"6717","Manage $ Together","SE","Sweden","Cohab","Woman primary-earner","Female",26,"Nonparent","Fulltime","Other","Upper level tertiary",5,"Yes, she worked for pay",6,0.055
"6718","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",41,"Parent","Fulltime","Homemaker","Upper level tertiary",2,"No",6,0.055
"6719","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",50,"Nonparent","Fulltime","Other","Upper level tertiary",4,"Yes, she worked for pay",6,0.055
"6720","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",49,"Nonparent","Parttime","Homemaker","Lower secondary",4,"No",7,0.055
"6721","Keep Some $ Separate","SE","Sweden","Married","Equal-earners","Female",39,"Parent","Fulltime","Other","Upper level tertiary",7,"Yes, she worked for pay",7,0.055
"6722","Keep Some $ Separate","SE","Sweden","Cohab","Equal-earners","Female",26,"Nonparent","Student","Other","Lower level tertiary",7,"Yes, she worked for pay",7,0.055
"6723","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",31,"Parent","Parttime","Homemaker","Upper secondary",6,"Yes, she worked for pay",6,0.055
"6724","One $ Manager","SE","Sweden","Married","Woman primary-earner","Male",44,"Parent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",6,0.055
"6725","Manage $ Together","SE","Sweden","Married","Equal-earners","Male",47,"Nonparent","Fulltime","Other","Lower secondary",7,"Yes, she worked for pay",6,0.055
"6726","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Female",33,"Nonparent","Fulltime","Other","Upper level tertiary",7,"No",7,0.055
"6727","Keep All $ Separate","SE","Sweden","Cohab","Woman primary-earner","Female",31,"Nonparent","Not in labor force","Other","Upper secondary",6,"No",7,0.055
"6728","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Female",39,"Parent","Parttime","Homemaker","Upper level tertiary",5,"Yes, she worked for pay",5,0.055
"6729","Keep Some $ Separate","SE","Sweden","Cohab","Woman primary-earner","Male",38,"Parent","Fulltime","Homemaker","Upper secondary",6,"Yes, she worked for pay",6,0.055
"6730","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",51,"Nonparent","Fulltime","Homemaker","Lower level tertiary",6,"Yes, she worked for pay",6,0.055
"6731","Keep Some $ Separate","SE","Sweden","Cohab","Equal-earners","Male",23,"Nonparent","Fulltime","Other","Lower level tertiary",8,"Yes, she worked for pay",6,0.055
"6732","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Male",33,"Parent","Fulltime","Homemaker","Upper level tertiary",5,"Yes, she worked for pay",7,0.055
"6733","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Female",29,"Parent","Fulltime","Other","Upper secondary",4,"Yes, she worked for pay",6,0.055
"6734","Manage $ Together","SE","Sweden","Married","Equal-earners","Male",38,"Parent","Fulltime","Other","Lower secondary",8,"No",7,0.055
"6735","Keep Some $ Separate","SE","Sweden","Cohab","Equal-earners","Female",23,"Nonparent","Fulltime","Other","Upper secondary",4,"Yes, she worked for pay",6,0.055
"6736","Keep Some $ Separate","SE","Sweden","Cohab","Man primary-earner","Female",27,"Nonparent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",6,0.055
"6737","One $ Manager","SE","Sweden","Married","Man primary-earner","Male",48,"Nonparent","Fulltime","Homemaker","Lower secondary",3,"Yes, she worked for pay",5,0.055
"6738","Keep All $ Separate","SE","Sweden","Married","Man primary-earner","Male",49,"Parent","Fulltime","Homemaker","Lower secondary",9,"No",3,0.055
"6739","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",46,"Parent","Fulltime","Homemaker","Lower level tertiary",6,"No",6,0.055
"6740","Keep All $ Separate","SE","Sweden","Married","Man primary-earner","Male",42,"Parent","Fulltime","Other","Lower level tertiary",4,"No",5,0.055
"6741","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",37,"Parent","Parttime","Homemaker","Upper level tertiary",3,"Yes, she worked for pay",6,0.055
"6742","Keep Some $ Separate","SE","Sweden","Cohab","Man primary-earner","Female",43,"Parent","Fulltime","Homemaker","Upper level tertiary",3,"No",6,0.055
"6743","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Male",33,"Parent","Fulltime","Homemaker","Upper secondary",8,"Yes, she worked for pay",6,0.055
"6744","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Female",28,"Parent","Fulltime","Other","Upper secondary",3,"Yes, she worked for pay",5,0.055
"6745","Manage $ Together","SE","Sweden","Married","Woman primary-earner","Female",41,"Parent","Parttime","Other","Upper secondary",7,"Yes, she worked for pay",7,0.055
"6746","Keep Some $ Separate","SE","Sweden","Cohab","Man primary-earner","Male",49,"Nonparent","Fulltime","Homemaker","Upper secondary",0,"Yes, she worked for pay",4,0.055
"6747","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",39,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",6,0.055
"6748","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",34,"Parent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",7,0.055
"6749","Keep All $ Separate","SE","Sweden","Cohab","Man primary-earner","Female",54,"Nonparent","Parttime","Homemaker","Lower secondary",2,"No",5,0.055
"6750","Keep All $ Separate","SE","Sweden","Cohab","Man primary-earner","Female",24,"Nonparent","Parttime","Other","Upper secondary",5,"Yes, she worked for pay",5,0.055
"6751","Keep Some $ Separate","SE","Sweden","Cohab","Man primary-earner","Female",25,"Nonparent","Fulltime","Other","Upper secondary",2,"Yes, she worked for pay",5,0.055
"6752","Manage $ Together","SE","Sweden","Cohab","Woman primary-earner","Female",47,"Parent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",6,0.055
"6753","Manage $ Together","SE","Sweden","Married","Equal-earners","Male",45,"Parent","Unemployed","Other","Lower secondary",3,"Yes, she worked for pay",5,0.055
"6754","Keep All $ Separate","SE","Sweden","Cohab","Man primary-earner","Male",27,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",6,0.055
"6755","One $ Manager","SE","Sweden","Married","Man primary-earner","Female",47,"Nonparent","Not in labor force","Homemaker","Lower secondary",4,"Yes, she worked for pay",7,0.055
"6756","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Male",45,"Parent","Fulltime","Homemaker","Upper level tertiary",4,"Yes, she worked for pay",6,0.055
"6757","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Female",30,"Parent","Parttime","Homemaker","Upper level tertiary",5,"Yes, she worked for pay",6,0.055
"6758","Manage $ Together","SE","Sweden","Cohab","Equal-earners","Male",43,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",5,0.055
"6759","Manage $ Together","SE","Sweden","Married","Equal-earners","Female",37,"Nonparent","Not in labor force","Homemaker","No formal education",5,"No",7,0.055
"6760","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",53,"Parent","Student","Homemaker","Lower secondary",4,"No",5,0.055
"6761","One $ Manager","SE","Sweden","Married","Man primary-earner","Male",33,"Parent","Fulltime","Other","Upper level tertiary",4,"Yes, she worked for pay",6,0.055
"6762","Keep Some $ Separate","SE","Sweden","Cohab","Woman primary-earner","Female",28,"Nonparent","Fulltime","Other","Upper level tertiary",7,"Yes, she worked for pay",6,0.055
"6763","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",46,"Nonparent","Fulltime","Homemaker","Lower secondary",6,"No",6,0.055
"6764","Keep Some $ Separate","SE","Sweden","Cohab","Equal-earners","Female",37,"Parent","Fulltime","Homemaker","Lower level tertiary",8,"Yes, she worked for pay",6,0.055
"6765","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",53,"Nonparent","Fulltime","Homemaker","Lower secondary",6,"Yes, she worked for pay",6,0.055
"6766","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",29,"Parent","Fulltime","Homemaker","Upper level tertiary",4,"No",5,0.055
"6767","Manage $ Together","SE","Sweden","Married","Woman primary-earner","Male",45,"Parent","Not in labor force","Other","Upper secondary",6,"No",5,0.055
"6768","Manage $ Together","SE","Sweden","Married","Woman primary-earner","Male",52,"Nonparent","Fulltime","Other","Lower level tertiary",5,"No",5,0.055
"6769","Keep Some $ Separate","SE","Sweden","Cohab","Man primary-earner","Male",34,"Nonparent","Fulltime","Other","Lower level tertiary",5,"Yes, she worked for pay",6,0.055
"6770","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",44,"Parent","Fulltime","Homemaker","Lower secondary",4,"No",6,0.055
"6771","Manage $ Together","SE","Sweden","Married","Woman primary-earner","Female",30,"Nonparent","Fulltime","Other","Upper level tertiary",5,"Yes, she worked for pay",3,0.055
"6772","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Female",45,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",7,0.055
"6773","Manage $ Together","SE","Sweden","Cohab","Equal-earners","Male",31,"Parent","Fulltime","Homemaker","Upper secondary",6,"Yes, she worked for pay",5,0.055
"6774","Keep Some $ Separate","SE","Sweden","Married","Woman primary-earner","Female",54,"Nonparent","Fulltime","Other","Upper level tertiary",3,"Yes, she worked for pay",6,0.055
"6775","Manage $ Together","SE","Sweden","Cohab","Man primary-earner","Male",40,"Nonparent","Student","Other","Upper level tertiary",9,"Yes, she worked for pay",4,0.055
"6776","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",51,"Parent","Fulltime","Homemaker","Lower secondary",5,"Yes, she worked for pay",6,0.055
"6777","Manage $ Together","SE","Sweden","Married","Equal-earners","Female",48,"Nonparent","Fulltime","Other","Lower level tertiary",6,"Yes, she worked for pay",6,0.055
"6778","Keep Some $ Separate","SE","Sweden","Cohab","Man primary-earner","Female",29,"Nonparent","Parttime","Other","Upper secondary",1,"Yes, she worked for pay",6,0.055
"6779","Keep Some $ Separate","SE","Sweden","Cohab","Equal-earners","Female",34,"Parent","Fulltime","Other","Upper level tertiary",9,"Yes, she worked for pay",5,0.055
"6780","Keep Some $ Separate","SE","Sweden","Cohab","Man primary-earner","Male",40,"Nonparent","Fulltime","Other","Upper secondary",6,"Yes, she worked for pay",2,0.055
"6781","Manage $ Together","SE","Sweden","Cohab","Man primary-earner","Male",38,"Parent","Fulltime","Homemaker","Lower secondary",6,"Yes, she worked for pay",7,0.055
"6782","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Female",54,"Parent","Fulltime","Homemaker","Lower level tertiary",5,"No",6,0.055
"6783","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Upper level tertiary",4,"Yes, she worked for pay",6,0.055
"6784","Keep Some $ Separate","SE","Sweden","Cohab","Woman primary-earner","Female",32,"Nonparent","Fulltime","Other","Lower secondary",1,"Yes, she worked for pay",6,0.055
"6785","Manage $ Together","SE","Sweden","Married","Equal-earners","Male",35,"Parent","Fulltime","Homemaker","Upper secondary",8,"Yes, she worked for pay",7,0.055
"6786","Manage $ Together","SE","Sweden","Cohab","Equal-earners","Male",36,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",5,0.055
"6787","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",43,"Nonparent","Fulltime","Homemaker","Lower secondary",4,"Yes, she worked for pay",5,0.055
"6788","Keep All $ Separate","SE","Sweden","Married","Man primary-earner","Female",53,"Nonparent","Fulltime","Homemaker","Lower level tertiary",4,"Yes, she worked for pay",5,0.055
"6789","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Female",53,"Parent","Fulltime","Homemaker","Lower level tertiary",1,"Yes, she worked for pay",2,0.055
"6790","Keep Some $ Separate","SE","Sweden","Cohab","Woman primary-earner","Female",51,"Nonparent","Fulltime","Other","Lower secondary",2,"Yes, she worked for pay",4,0.055
"6791","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",43,"Parent","Fulltime","Homemaker","Lower level tertiary",4,"Yes, she worked for pay",6,0.055
"6792","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",34,"Parent","Fulltime","Other","Upper secondary",4,"No",6,0.055
"6793","Manage $ Together","SE","Sweden","Married","Man primary-earner","Male",44,"Parent","Fulltime","Homemaker","Upper secondary",6,"Yes, she worked for pay",6,0.055
"6794","Manage $ Together","SE","Sweden","Married","Man primary-earner","Female",41,"Parent","Fulltime","Other","Lower level tertiary",2,"Yes, she worked for pay",7,0.055
"6795","Manage $ Together","SE","Sweden","Married","Woman primary-earner","Male",48,"Nonparent","Fulltime","Other","Lower secondary",7,"Yes, she worked for pay",7,0.055
"6796","Keep Some $ Separate","SE","Sweden","Married","Man primary-earner","Male",42,"Parent","Fulltime","Homemaker","Lower secondary",3,"Yes, she worked for pay",6,0.055
"6797","One $ Manager","SE","Sweden","Married","Man primary-earner","Male",36,"Parent","Fulltime","Other","Upper secondary",6,"Yes, she worked for pay",6,0.055
"6798","Manage $ Together","SE","Sweden","Cohab","Man primary-earner","Female",31,"Parent","Parttime","Homemaker","Upper secondary",3,"Yes, she worked for pay",5,0.055
"6799","One $ Manager","CH","Switzerland","Married","Woman primary-earner","Female",31,"Parent","Parttime","Homemaker","Lower secondary",2,"Yes, she worked for pay",6,0.057
"6800","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",42,"Parent","Fulltime","Other","Post secondary",3,"Yes, she worked for pay",5,0.057
"6801","Keep All $ Separate","CH","Switzerland","Married","Man primary-earner","Male",48,"Parent","Fulltime","Homemaker","Upper level tertiary",4,"No",6,0.057
"6802","Manage $ Together","CH","Switzerland","Married","Equal-earners","Female",43,"Parent","Parttime","Homemaker","Post secondary",1,"Yes, she worked for pay",6,0.057
"6803","Keep Some $ Separate","CH","Switzerland","Cohab","Man primary-earner","Male",46,"Nonparent","Fulltime","Homemaker","Lower level tertiary",2,"Yes, she worked for pay",6,0.057
"6804","One $ Manager","CH","Switzerland","Married","Man primary-earner","Female",26,"Parent","Not in labor force","Homemaker","Lower level tertiary",0,"No",5,0.057
"6805","Keep Some $ Separate","CH","Switzerland","Married","Woman primary-earner","Female",31,"Parent","Parttime","Homemaker","Upper level tertiary",6,"Yes, she worked for pay",6,0.057
"6806","Keep All $ Separate","CH","Switzerland","Married","Man primary-earner","Male",37,"Parent","Fulltime","Other","Lower level tertiary",2,"Yes, she worked for pay",6,0.057
"6807","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",50,"Nonparent","Fulltime","Other","Lower level tertiary",5,"Yes, she worked for pay",6,0.057
"6808","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Female",49,"Nonparent","Not in labor force","Homemaker","Lower secondary",1,"No",6,0.057
"6809","Manage $ Together","CH","Switzerland","Cohab","Man primary-earner","Male",37,"Parent","Fulltime","Homemaker","Lower secondary",5,"Yes, she worked for pay",6,0.057
"6810","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Female",53,"Nonparent","Parttime","Homemaker","Upper secondary",2,"No",6,0.057
"6811","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Female",41,"Parent","Parttime","Homemaker","Post secondary",4,"Yes, she worked for pay",7,0.057
"6812","Manage $ Together","CH","Switzerland","Married","Woman primary-earner","Female",45,"Parent","Fulltime","Other","Post secondary",5,"Yes, she worked for pay",6,0.057
"6813","One $ Manager","CH","Switzerland","Married","Man primary-earner","Male",48,"Parent","Fulltime","Other","Upper level tertiary",1,"Yes, she worked for pay",6,0.057
"6814","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",37,"Parent","Student","Homemaker","Post secondary",6,"No",6,0.057
"6815","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",49,"Nonparent","Fulltime","Homemaker","Post secondary",5,"No",6,0.057
"6816","Manage $ Together","CH","Switzerland","Married","Woman primary-earner","Female",34,"Parent","Parttime","Homemaker","Lower secondary",3,"Yes, she worked for pay",5,0.057
"6817","Manage $ Together","CH","Switzerland","Married","Equal-earners","Female",51,"Nonparent","Parttime","Homemaker","Post secondary",5,"Yes, she worked for pay",6,0.057
"6818","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",46,"Parent","Fulltime","Other","Upper level tertiary",4,"Yes, she worked for pay",6,0.057
"6819","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Female",52,"Nonparent","Fulltime","Homemaker","Lower secondary",3,"No",7,0.057
"6820","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",39,"Parent","Fulltime","Homemaker","Lower level tertiary",2,"Yes, she worked for pay",6,0.057
"6821","Manage $ Together","CH","Switzerland","Married","Equal-earners","Female",47,"Parent","Fulltime","Other","Post secondary",2,"No",7,0.057
"6822","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",36,"Nonparent","Fulltime","Other","Post secondary",7,"Yes, she worked for pay",7,0.057
"6823","Keep All $ Separate","CH","Switzerland","Married","Man primary-earner","Female",48,"Nonparent","Parttime","Homemaker","Post secondary",3,"Yes, she worked for pay",6,0.057
"6824","One $ Manager","CH","Switzerland","Married","Man primary-earner","Female",51,"Nonparent","Not in labor force","Homemaker","Lower level tertiary",2,"No",5,0.057
"6825","Manage $ Together","CH","Switzerland","Married","Woman primary-earner","Female",48,"Nonparent","Parttime","Homemaker","Post secondary",2,"No",7,0.057
"6826","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",52,"Parent","Fulltime","Homemaker","Post secondary",1,"No",7,0.057
"6827","One $ Manager","CH","Switzerland","Married","Man primary-earner","Female",41,"Parent","Not in labor force","Homemaker","Post secondary",2,"No",7,0.057
"6828","Manage $ Together","CH","Switzerland","Married","Woman primary-earner","Female",44,"Nonparent","Fulltime","Homemaker","Upper secondary",6,"No",7,0.057
"6829","Keep Some $ Separate","CH","Switzerland","Cohab","Woman primary-earner","Female",20,"Nonparent","Fulltime","Other","Lower secondary",6,"Yes, she worked for pay",6,0.057
"6830","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",42,"Parent","Fulltime","Homemaker","Post secondary",3,"Yes, she worked for pay",7,0.057
"6831","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",40,"Parent","Fulltime","Homemaker","Post secondary",2,"Yes, she worked for pay",7,0.057
"6832","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",43,"Parent","Fulltime","Other","Lower level tertiary",2,"No",7,0.057
"6833","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",53,"Parent","Fulltime","Other","Lower level tertiary",3,"Yes, she worked for pay",6,0.057
"6834","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",46,"Parent","Fulltime","Other","Post secondary",4,"No",7,0.057
"6835","One $ Manager","CH","Switzerland","Married","Woman primary-earner","Female",38,"Parent","Parttime","Homemaker","Lower level tertiary",4,"No",5,0.057
"6836","Keep Some $ Separate","CH","Switzerland","Married","Woman primary-earner","Female",50,"Parent","Unemployed","Homemaker","Post secondary",4,"No",7,0.057
"6837","One $ Manager","CH","Switzerland","Married","Man primary-earner","Male",50,"Parent","Fulltime","Other","Post secondary",2,"Yes, she worked for pay",7,0.057
"6838","One $ Manager","CH","Switzerland","Married","Man primary-earner","Female",42,"Parent","Parttime","Homemaker","Lower secondary",3,"Yes, she worked for pay",7,0.057
"6839","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Female",46,"Nonparent","Not in labor force","Other","Lower secondary",2,"No",6,0.057
"6840","One $ Manager","CH","Switzerland","Married","Equal-earners","Female",30,"Parent","Not in labor force","Homemaker","Upper secondary",2,"No",7,0.057
"6841","One $ Manager","CH","Switzerland","Married","Man primary-earner","Female",38,"Parent","Parttime","Homemaker","Upper level tertiary",1,"No",5,0.057
"6842","One $ Manager","CH","Switzerland","Married","Woman primary-earner","Female",53,"Parent","Not in labor force","Homemaker","Lower secondary",0,"No",7,0.057
"6843","Keep Some $ Separate","CH","Switzerland","Married","Man primary-earner","Female",43,"Parent","Not in labor force","Homemaker","Post secondary",2,"No",6,0.057
"6844","Keep All $ Separate","CH","Switzerland","Married","Man primary-earner","Male",26,"Parent","Fulltime","Other","Post secondary",4,"Yes, she worked for pay",6,0.057
"6845","One $ Manager","CH","Switzerland","Married","Man primary-earner","Male",54,"Nonparent","Fulltime","Other","Post secondary",2,"Yes, she worked for pay",6,0.057
"6846","Keep Some $ Separate","CH","Switzerland","Married","Man primary-earner","Female",49,"Parent","Parttime","Homemaker","Post secondary",3,"No",6,0.057
"6847","Keep Some $ Separate","CH","Switzerland","Cohab","Equal-earners","Female",52,"Nonparent","Fulltime","Homemaker","Lower level tertiary",2,"No",7,0.057
"6848","Keep All $ Separate","CH","Switzerland","Married","Woman primary-earner","Male",31,"Nonparent","Fulltime","Other","Lower level tertiary",7,"Yes, she worked for pay",5,0.057
"6849","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Female",25,"Parent","Not in labor force","Homemaker","Post secondary",4,"Yes, she worked for pay",7,0.057
"6850","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Female",43,"Parent","Not in labor force","Homemaker","Post secondary",1,"No",6,0.057
"6851","Keep Some $ Separate","CH","Switzerland","Married","Man primary-earner","Female",39,"Parent","Fulltime","Other","Upper level tertiary",7,"Yes, she worked for pay",5,0.057
"6852","Manage $ Together","CH","Switzerland","Married","Woman primary-earner","Female",50,"Nonparent","Fulltime","Homemaker","Post secondary",4,"Yes, she worked for pay",6,0.057
"6853","Keep All $ Separate","CH","Switzerland","Cohab","Man primary-earner","Male",35,"Parent","Fulltime","Other","Post secondary",5,"Yes, she worked for pay",6,0.057
"6854","Manage $ Together","CH","Switzerland","Cohab","Man primary-earner","Male",28,"Nonparent","Fulltime","Other","Post secondary",7,"Yes, she worked for pay",6,0.057
"6855","Manage $ Together","CH","Switzerland","Married","Equal-earners","Male",45,"Parent","Fulltime","Other","Post secondary",2,"Yes, she worked for pay",7,0.057
"6856","One $ Manager","CH","Switzerland","Married","Man primary-earner","Female",52,"Parent","Not in labor force","Homemaker","Post secondary",2,"No",6,0.057
"6857","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Female",48,"Parent","Parttime","Homemaker","Post secondary",3,"No",5,0.057
"6858","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",46,"Parent","Fulltime","Other","Post secondary",7,"Yes, she worked for pay",6,0.057
"6859","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",52,"Parent","Fulltime","Homemaker","Post secondary",4,"No",7,0.057
"6860","Keep All $ Separate","CH","Switzerland","Cohab","Man primary-earner","Male",53,"Nonparent","Fulltime","Other","Post secondary",8,"No",5,0.057
"6861","Manage $ Together","CH","Switzerland","Married","Equal-earners","Female",54,"Parent","Fulltime","Homemaker","Lower level tertiary",7,"No",6,0.057
"6862","Keep Some $ Separate","CH","Switzerland","Married","Man primary-earner","Female",42,"Parent","Parttime","Homemaker","Upper level tertiary",4,"Yes, she worked for pay",5,0.057
"6863","One $ Manager","CH","Switzerland","Married","Man primary-earner","Male",52,"Parent","Fulltime","Other","Lower secondary",2,"No",5,0.057
"6864","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Lower level tertiary",2,"Yes, she worked for pay",5,0.057
"6865","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Female",28,"Nonparent","Fulltime","Other","Post secondary",1,"Yes, she worked for pay",6,0.057
"6866","Keep Some $ Separate","CH","Switzerland","Married","Woman primary-earner","Female",49,"Parent","Not in labor force","Homemaker","Post secondary",2,"No",7,0.057
"6867","One $ Manager","CH","Switzerland","Married","Man primary-earner","Male",44,"Parent","Fulltime","Other","Post secondary",4,"Yes, she worked for pay",7,0.057
"6868","Keep All $ Separate","CH","Switzerland","Married","Man primary-earner","Female",36,"Nonparent","Unemployed","Other","Lower secondary",1,"No",7,0.057
"6869","Keep All $ Separate","CH","Switzerland","Married","Woman primary-earner","Female",24,"Nonparent","Fulltime","Other","Lower level tertiary",5,"Yes, she worked for pay",5,0.057
"6870","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",54,"Parent","Fulltime","Homemaker","Lower level tertiary",0,"Yes, she worked for pay",7,0.057
"6871","Manage $ Together","CH","Switzerland","Married","Man primary-earner","Male",31,"Parent","Fulltime","Homemaker","Lower secondary",6,"No",7,0.057
"6872","Keep All $ Separate","CH","Switzerland","Cohab","Woman primary-earner","Male",50,"Nonparent","Fulltime","Other","Lower level tertiary",7,"No",7,0.057
"6873","Keep Some $ Separate","CH","Switzerland","Married","Man primary-earner","Male",31,"Nonparent","Fulltime","Other","Upper level tertiary",1,"No",6,0.057
